"VNR";"Voimassa";"SaatavuushairioAlkupaiva";"SaatavuushairioLoppupaiva";"Ilmoituspaiva";"Muokkauspaiva";"Yritys"
"560087";"K";"2022-10-01";"2023-02-26";"2022-09-06";"2022-10-31";"Teva Finland Oy"
"595155";"K";"2022-06-07";"2023-01-21";"2022-05-03";"2022-10-31";"Teva Finland Oy"
"079745";"K";"2022-09-07";"2022-11-21";"2022-08-09";"2022-10-31";"Teva Finland Oy"
"079246";"K";"2022-10-31";"2022-12-14";"2022-10-31";"2022-10-31";"Krka Finland Oy"
"423191";"K";"2022-12-12";"2022-12-15";"2022-10-31";"2022-10-31";"Sandoz A/S"
"044573";"K";"2022-10-05";"2022-11-28";"2022-10-04";"2022-10-31";"Teva Finland Oy"
"470655";"K";"2022-11-07";"2023-01-16";"2022-10-31";"2022-10-31";"Baxter Oy"
"043607";"E";"2022-10-01";"2022-10-28";"2022-08-30";"2022-10-28";"Vetcare oy"
"049996";"K";"2022-10-24";"2022-12-12";"2022-10-18";"2022-10-28";"MSD Animal Health Oy"
"457734";"E";"2022-10-28";"2022-11-09";"2022-10-28";"2022-10-28";"McNeil, a division of Janssen-Cilag Oy"
"449344";"K";"2022-11-01";"2022-12-27";"2022-10-14";"2022-10-28";"Chiesi Pharma AB"
"497499";"K";"2022-10-28";"2022-11-16";"2022-10-28";"2022-10-28";"McNeil, a division of Janssen-Cilag Oy"
"007549";"E";"2022-09-22";"2022-10-28";"2022-09-09";"2022-10-28";"Organon Finland Oy"
"443325";"K";"2022-10-28";"2023-02-01";"2022-10-28";"2022-10-28";"Novo Nordisk Farma Oy"
"018735";"E";"2022-03-25";"2022-11-14";"2022-02-22";"2022-10-28";"Teva Finland Oy"
"417463";"E";"2022-10-24";"2022-11-02";"2022-10-28";"2022-10-28";"Orion Oyj"
"414987";"E";"2022-10-28";"2022-10-28";"2022-09-21";"2022-10-28";"Pfizer"
"412894";"K";"2022-12-19";"2023-01-13";"2022-10-28";"2022-10-28";"Orion Oyj"
"023952";"E";"2022-07-20";"2022-10-28";"2022-06-28";"2022-10-28";"Vetcare oy"
"400592";"K";"2022-10-20";"2023-01-02";"2022-10-18";"2022-10-28";"Teva Finland Oy"
"540587";"K";"2022-11-02";"2022-12-05";"2022-09-30";"2022-10-28";"Orion Oyj"
"032654";"K";"2022-10-28";"2022-12-09";"2022-10-28";"2022-10-28";"LEO Pharma Oy"
"035024";"E";"2022-10-07";"2022-11-15";"2022-10-06";"2022-10-28";"LEO Pharma Oy"
"188811";"K";"2022-06-30";"2022-11-22";"2022-06-14";"2022-10-27";"Berlin-Chemie / A. Menarini Suomi Oy"
"401116";"K";"2022-09-12";"2022-12-31";"2022-09-12";"2022-10-27";"Stada Nordic ApS, Suomen sivuliike"
"456843";"K";"2022-08-31";"2022-11-30";"2022-08-31";"2022-10-27";"Orifarm Healthcare Oy"
"105124";"E";"2022-09-13";"2022-11-08";"2022-09-06";"2022-10-27";"UCB Pharma Oy Finland"
"535976";"K";"2022-09-12";"2022-12-31";"2022-09-12";"2022-10-27";"Stada Nordic ApS, Suomen sivuliike"
"085784";"K";"2022-08-30";"2022-11-30";"2022-08-30";"2022-10-27";"Orifarm Healthcare Oy"
"074297";"E";"2022-11-04";"2022-10-27";"2022-10-19";"2022-10-27";"Vetcare Oy"
"485711";"K";"2022-10-21";"2023-01-12";"2022-10-27";"2022-10-27";"Medical Valley Invest AB"
"055687";"E";"2022-11-01";"2022-11-30";"2022-10-03";"2022-10-27";"Takeda Oy"
"498828";"K";"2022-08-31";"2022-11-30";"2022-08-31";"2022-10-27";"Orifarm Healthcare Oy"
"504121";"K";"2022-10-24";"2023-01-18";"2022-10-27";"2022-10-27";"McNeil, a division of Janssen-Cilag Oy"
"124832";"K";"2022-10-24";"2022-12-07";"2022-10-27";"2022-10-27";"McNeil a division of Janssen-Cilag Oy"
"046885";"K";"2022-08-29";"2022-12-31";"2022-08-29";"2022-10-27";"Stada Nordic ApS, Suomen sivuliike"
"128240";"K";"2022-09-30";"2022-11-22";"2022-09-09";"2022-10-27";"Berlin-Chemie / A. Menarini Suomi Oy"
"401239";"K";"2022-09-07";"2022-11-30";"2022-08-17";"2022-10-27";"Vetcare oy"
"197363";"K";"2022-10-15";"2022-11-22";"2022-10-12";"2022-10-27";"Berlin-Chemie / A. Menarini Suomi Oy"
"513096";"K";"2022-09-15";"2023-01-25";"2022-07-12";"2022-10-26";"Krka Finland Oy"
"509207";"K";"2022-07-29";"2022-11-30";"2022-07-29";"2022-10-26";"Orifarm Healthcare Oy"
"018532";"K";"2022-11-30";"2022-12-31";"2022-10-26";"2022-10-26";"Viatris Oy"
"166241";"K";"2022-09-01";"2022-11-30";"2022-08-01";"2022-10-26";"Viatris Oy"
"528401";"K";"2022-09-01";"2022-12-31";"2022-05-31";"2022-10-26";"Viatris Oy"
"528540";"K";"2022-11-30";"2023-01-11";"2022-10-26";"2022-10-26";"2care4 ApS, filial"
"016642";"K";"2022-12-04";"2022-12-31";"2022-10-26";"2022-10-26";"Viatris Oy"
"013110";"K";"2022-12-31";"2023-03-31";"2022-10-26";"2022-10-26";"Viatris Oy"
"518045";"K";"2022-10-28";"2023-02-22";"2022-08-02";"2022-10-26";"Krka Finland Oy"
"484244";"K";"2022-10-26";"2023-02-01";"2022-10-26";"2022-10-26";"Krka Finland Oy"
"597653";"K";"2022-11-30";"2022-12-31";"2022-10-26";"2022-10-26";"Viatris Oy"
"407207";"K";"2022-08-17";"2023-01-18";"2022-06-15";"2022-10-26";"Krka Finland Oy"
"560982";"K";"2022-08-16";"2023-01-18";"2022-08-17";"2022-10-26";"Krka Finland Oy"
"418366";"K";"2022-11-30";"2023-01-31";"2022-10-26";"2022-10-26";"Viatris Oy"
"420343";"K";"2022-07-16";"2023-01-25";"2022-06-21";"2022-10-26";"Krka Finland Oy"
"381868";"K";"2022-07-25";"2022-11-23";"2022-05-25";"2022-10-26";"Krka Finland Oy"
"444089";"K";"2022-11-22";"2022-12-28";"2022-10-26";"2022-10-26";"Viatris Oy"
"444382";"K";"2022-12-31";"2023-01-31";"2022-10-26";"2022-10-26";"Viatris Oy"
"445403";"K";"2023-02-10";"2023-03-31";"2022-10-26";"2022-10-26";"Viatris Oy"
"447939";"K";"2022-10-10";"2023-01-25";"2022-10-05";"2022-10-26";"Krka Finland Oy"
"061607";"K";"2022-10-05";"2022-12-31";"2022-09-05";"2022-10-26";"Viatris Oy"
"147879";"K";"2022-08-10";"2022-12-31";"2022-08-01";"2022-10-26";"Viatris Oy"
"162440";"K";"2022-11-17";"2023-01-25";"2022-10-18";"2022-10-26";"Krka Finland Oy"
"126844";"K";"2022-12-26";"2023-01-23";"2022-10-26";"2022-10-26";"GlaxoSmithKline Oy"
"578692";"K";"2022-08-25";"2023-01-25";"2022-07-12";"2022-10-26";"Krka Finland Oy"
"135832";"K";"2022-11-05";"2022-12-31";"2022-10-26";"2022-10-26";"Viatris Oy"
"489249";"K";"2022-09-19";"2022-12-28";"2022-09-19";"2022-10-26";"Krka Finland Oy"
"592151";"K";"2022-10-05";"2022-11-30";"2022-10-05";"2022-10-26";"Orifarm Healthcare Oy"
"137754";"E";"2022-08-18";"2022-11-02";"2022-06-21";"2022-10-26";"Krka Finland Oy"
"495572";"K";"2022-11-25";"2023-01-18";"2022-10-26";"2022-10-26";"Viatris Oy"
"029059";"K";"2022-07-26";"2022-11-30";"2022-05-25";"2022-10-26";"Krka Finland Oy"
"025120";"K";"2022-10-04";"2022-11-30";"2022-10-04";"2022-10-26";"Viatris Oy"
"467867";"K";"2022-10-26";"2022-12-31";"2022-10-04";"2022-10-26";"Viatris Oy"
"186000";"K";"2022-11-23";"2023-01-11";"2022-10-25";"2022-10-25";"Bayer Oy"
"522680";"K";"2022-09-07";"2023-02-17";"2022-08-18";"2022-10-25";"Bayer Oy"
"541276";"K";"2022-08-18";"2023-02-08";"2022-08-18";"2022-10-25";"Bayer Oy"
"100131";"K";"2022-11-02";"2022-12-06";"2022-10-25";"2022-10-25";"Bayer Oy"
"057041";"E";"2022-10-31";"2022-11-11";"2022-10-25";"2022-10-25";"Fresenius Kabi AB, sivuliike Suomessa"
"582221";"K";"2022-11-01";"2022-12-30";"2022-10-25";"2022-10-25";"OY GE HEALTHCARE BIO-SCIENCES AB"
"018486";"K";"2022-10-27";"2022-11-30";"2022-10-24";"2022-10-24";"Paranova Oy"
"139063";"E";"2022-10-24";"2022-11-04";"2022-10-24";"2022-10-24";"Novartis Finland Oy"
"566277";"K";"2022-10-31";"2022-12-15";"2022-10-24";"2022-10-24";"Paranova Oy"
"066111";"K";"2022-11-01";"2022-12-31";"2022-10-24";"2022-10-24";"Baxter Oy"
"551903";"E";"2022-09-30";"2022-10-24";"2022-09-30";"2022-10-24";"Orion Oyj"
"031008";"E";"2022-10-04";"2022-11-01";"2022-06-04";"2022-10-24";"Sandoz A/S"
"379961";"K";"2022-10-26";"2022-12-31";"2022-10-24";"2022-10-24";"Paranova Oy"
"449076";"K";"2022-10-11";"2022-12-19";"2022-03-29";"2022-10-24";"Sandoz A/S"
"037709";"K";"2022-11-20";"2022-12-31";"2022-10-24";"2022-10-24";"Paranova Oy"
"136492";"K";"2022-10-26";"2022-11-30";"2022-10-24";"2022-10-24";"Paranova Oy"
"581841";"K";"2022-11-09";"2022-12-31";"2022-10-24";"2022-10-24";"Paranova Oy"
"043773";"K";"2022-10-26";"2022-12-31";"2022-10-24";"2022-10-24";"Paranova Oy"
"402295";"K";"2022-12-27";"2023-05-02";"2022-10-17";"2022-10-24";"Sandoz A/S"
"475804";"K";"2022-10-26";"2022-11-30";"2022-10-24";"2022-10-24";"Paranova Oy"
"555176";"K";"2022-12-08";"2023-03-17";"2022-09-19";"2022-10-24";"Sandoz A/S"
"121851";"K";"2022-10-31";"2022-11-30";"2022-10-24";"2022-10-24";"Paranova Oy"
"181423";"K";"2022-10-17";"2023-01-09";"2022-10-17";"2022-10-24";"Teva Finland Oy"
"146259";"K";"2022-11-21";"2022-12-31";"2022-10-24";"2022-10-24";"Paranova Oy"
"579405";"K";"2022-10-26";"2022-12-31";"2022-10-24";"2022-10-24";"Paranova Oy"
"001659";"E";"2022-06-15";"2022-11-06";"2022-06-15";"2022-10-24";"Grünenthal Finland Oy"
"404492";"K";"2022-11-07";"2022-12-15";"2022-10-24";"2022-10-24";"Paranova Oy"
"423803";"K";"2022-11-01";"2023-01-31";"2022-10-24";"2022-10-24";"Paranova Oy"
"573705";"K";"2022-10-31";"2022-12-15";"2022-10-24";"2022-10-24";"Paranova Oy"
"396436";"K";"2022-10-12";"2022-12-15";"2022-10-21";"2022-10-24";"Gedeon Richter"
"408288";"K";"2022-11-09";"2022-12-31";"2022-10-24";"2022-10-24";"Paranova Oy"
"168947";"E";"2022-09-06";"2022-10-24";"2022-06-30";"2022-10-24";"Orion Oyj"
"085223";"K";"2022-10-26";"2022-12-15";"2022-10-24";"2022-10-24";"Paranova Oy"
"012104";"E";"2022-10-12";"2022-10-24";"2022-10-14";"2022-10-24";"Orion Oyj"
"513151";"K";"2023-01-15";"2023-02-01";"2022-10-24";"2022-10-24";"Sandoz A/S"
"389623";"K";"2022-10-17";"2023-01-09";"2022-10-17";"2022-10-24";"Teva Finland Oy"
"149095";"E";"2022-09-20";"2022-10-24";"2022-08-01";"2022-10-24";"Orion Oyj"
"421245";"K";"2022-11-30";"2023-01-31";"2022-10-24";"2022-10-24";"Paranova Oy"
"445824";"E";"2022-09-27";"2022-10-21";"2022-09-23";"2022-10-21";"Orion Oyj"
"371803";"K";"2022-12-07";"2023-01-31";"2022-10-21";"2022-10-21";"Orion Oyj"
"060005";"K";"2022-12-02";"2023-01-31";"2022-10-21";"2022-10-21";"Orion Oyj"
"564373";"K";"2022-10-21";"2022-12-09";"2022-10-21";"2022-10-21";"Viatris Oy"
"066707";"K";"2022-10-20";"2023-01-27";"2022-09-21";"2022-10-21";"Pfizer"
"176941";"E";"2022-10-14";"2022-10-31";"2022-10-14";"2022-10-21";"Orion Oyj"
"441642";"E";"2022-10-21";"2022-10-24";"2022-10-21";"2022-10-21";"Perrigo Suomi Oy"
"431919";"E";"2022-10-10";"2022-11-01";"2022-10-21";"2022-10-21";"Propharma Group AB"
"016919";"E";"2022-10-03";"2022-10-28";"2022-09-12";"2022-10-20";"Merck Oy"
"474254";"K";"2022-11-07";"2022-12-28";"2022-09-22";"2022-10-20";"Merck Oy"
"537908";"K";"2022-10-20";"2023-01-31";"2022-10-20";"2022-10-20";"Baxter Oy"
"055711";"E";"2022-10-20";"2022-11-04";"2022-10-20";"2022-10-20";"Novartis Finland Oy"
"069368";"E";"2022-10-20";"2022-11-08";"2022-10-20";"2022-10-20";"Viatris Oy"
"016939";"K";"2022-10-10";"2022-12-09";"2022-09-12";"2022-10-20";"Merck Oy"
"421304";"E";"2022-10-19";"2022-10-26";"2022-10-19";"2022-10-19";"Abacus Medicine A/S"
"396659";"E";"2022-10-05";"2022-10-26";"2022-10-07";"2022-10-19";"McNeil a division of Janssen-Cilag Oy"
"427321";"K";"2022-08-12";"2022-11-30";"2022-08-10";"2022-10-19";"Novartis Finland Oy"
"585463";"K";"2022-10-19";"2022-12-31";"2022-10-19";"2022-10-19";"Stada Nordic ApS, Suomen sivuliike"
"077915";"E";"2022-09-21";"2022-11-02";"2022-09-20";"2022-10-19";"McNeil, a division of Janssen-Cilag Oy"
"585471";"K";"2022-10-19";"2022-12-31";"2022-10-19";"2022-10-19";"Stada Nordic ApS, Suomen sivuliike"
"425629";"E";"2022-10-20";"2022-11-15";"2022-10-19";"2022-10-19";"Orifarm Healthcare Oy"
"071635";"E";"2022-10-10";"2022-10-25";"2022-10-19";"2022-10-19";"Abbvie"
"046944";"K";"2022-04-08";"2022-11-30";"2022-04-01";"2022-10-19";"Abacus Medicine A/S"
"489393";"K";"2022-10-19";"2022-12-31";"2022-10-19";"2022-10-19";"Stada Nordic ApS, Suomen sivuliike"
"501215";"K";"2022-03-18";"2023-03-17";"2021-10-26";"2022-10-19";"Oy H. Lundbeck Ab"
"516707";"K";"2022-11-01";"2022-11-30";"2022-10-19";"2022-10-19";"Abacus Medicine A/S"
"043616";"E";"2022-10-21";"2022-11-14";"2022-10-19";"2022-10-19";"Vetcare oy"
"570608";"K";"2022-10-19";"2022-11-16";"2022-10-19";"2022-10-19";"Abacus Medicine A/S"
"038764";"E";"2022-11-01";"2022-11-30";"2022-09-30";"2022-10-19";"Abacus Medicine A/S"
"035303";"E";"2022-09-21";"2022-10-26";"2022-09-15";"2022-10-19";"Orifarm Healthcare Oy"
"012249";"K";"2022-10-19";"2022-12-31";"2022-10-19";"2022-10-19";"Stada Nordic ApS, Suomen sivuliike"
"186080";"E";"2022-09-29";"2022-10-19";"2022-08-15";"2022-10-19";"Orion Oyj"
"513490";"E";"2022-10-24";"2022-10-31";"2022-10-19";"2022-10-19";"Novo Nordisk Farma Oy"
"077661";"E";"2022-10-17";"2022-10-26";"2022-10-18";"2022-10-18";"Biocodex Oy"
"013236";"E";"2022-11-22";"2022-10-18";"2022-10-04";"2022-10-18";"Teva Finland Oy"
"012243";"K";"2022-10-22";"2022-11-21";"2022-10-11";"2022-10-18";"GlaxoSmithKline Oy"
"055130";"K";"2022-10-12";"2023-01-09";"2022-10-04";"2022-10-18";"Teva Finland Oy"
"528214";"E";"2022-06-20";"2022-10-26";"2022-05-16";"2022-10-18";"Krka Finland Oy"
"004092";"K";"2022-10-18";"2023-03-15";"2022-10-18";"2022-10-18";"Stada Nordic ApS, Suomen sivuliike"
"002245";"E";"2022-09-06";"2022-11-15";"2022-09-06";"2022-10-18";"Biocodex Oy"
"002124";"E";"2022-09-06";"2022-11-15";"2022-09-06";"2022-10-18";"Biocodex Oy"
"002019";"E";"2022-09-06";"2022-11-15";"2022-09-06";"2022-10-18";"Biocodex Oy"
"094442";"K";"2022-10-18";"2023-03-13";"2022-09-20";"2022-10-18";"Teva Finland Oy"
"537953";"K";"2022-10-18";"2022-12-01";"2022-10-18";"2022-10-18";"Stada Nordic ApS, Suomen sivuliike"
"007623";"E";"2022-10-24";"2022-11-04";"2022-10-18";"2022-10-18";"Teva Finland Oy"
"018313";"E";"2022-10-11";"2022-10-17";"2022-09-20";"2022-10-18";"Teva Finland Oy"
"021262";"K";"2022-09-06";"2023-01-09";"2022-08-26";"2022-10-18";"Teva Finland Oy"
"018904";"E";"2022-09-14";"2022-11-14";"2022-09-14";"2022-10-18";"Teva Finland Oy"
"557085";"E";"2022-10-19";"2022-10-24";"2022-10-04";"2022-10-18";"Teva Finland Oy"
"049978";"K";"2022-10-24";"2023-01-11";"2022-10-18";"2022-10-18";"MSD Animal Health Oy"
"469846";"K";"2022-10-28";"2022-12-12";"2022-09-20";"2022-10-18";"Teva Finland Oy"
"040742";"E";"2022-10-24";"2022-11-03";"2022-10-18";"2022-10-18";"Teva Finland Oy"
"061902";"K";"2022-07-04";"2022-12-01";"2022-06-17";"2022-10-18";"MSD Animal Health Oy"
"590919";"K";"2022-08-16";"2022-12-15";"2022-04-20";"2022-10-18";"Boehringer Ingelheim Finland Ky"
"509060";"K";"2022-03-10";"2023-01-09";"2022-01-25";"2022-10-18";"Teva Finland Oy"
"558064";"E";"2022-09-15";"2022-11-14";"2022-08-09";"2022-10-18";"Teva Finland Oy"
"497728";"E";"2021-12-10";"2022-10-26";"2021-11-02";"2022-10-18";"Teva Finland Oy"
"444574";"K";"2022-10-28";"2023-02-27";"2022-10-18";"2022-10-18";"Teva Finland Oy"
"023367";"K";"2022-08-26";"2022-12-19";"2022-06-16";"2022-10-18";"Teva Finland Oy"
"442399";"K";"2022-10-20";"2022-12-05";"2022-09-20";"2022-10-18";"Teva Finland Oy"
"055108";"K";"2022-08-09";"2023-01-09";"2022-07-26";"2022-10-18";"Teva Finland Oy"
"021185";"K";"2022-06-10";"2023-01-09";"2022-04-06";"2022-10-18";"Teva Finland Oy"
"033498";"E";"2022-09-07";"2022-11-14";"2022-08-09";"2022-10-18";"Teva Finland Oy"
"158861";"K";"2022-10-25";"2022-12-31";"2022-10-18";"2022-10-18";"Teva Finland Oy"
"071502";"K";"2022-10-24";"2022-12-31";"2022-10-18";"2022-10-18";"Stada Nordic ApS, Suomen sivuliike"
"565440";"E";"2022-08-24";"2022-10-26";"2022-07-12";"2022-10-18";"Teva Finland Oy"
"174746";"K";"2022-11-03";"2022-12-19";"2022-10-18";"2022-10-18";"Teva Finland Oy"
"378756";"K";"2022-05-19";"2023-01-09";"2022-04-25";"2022-10-18";"Teva Finland Oy"
"145330";"K";"2022-11-20";"2023-04-28";"2022-10-18";"2022-10-18";"Bayer Oy"
"176455";"E";"2022-10-27";"2022-11-07";"2022-10-18";"2022-10-18";"Teva Finland Oy"
"157088";"K";"2022-10-18";"2023-02-22";"2022-10-18";"2022-10-18";"Krka Finland Oy"
"190703";"K";"2022-11-11";"2022-12-12";"2022-08-09";"2022-10-18";"Teva Finland Oy"
"109264";"K";"2022-11-05";"2022-12-16";"2022-10-18";"2022-10-18";"Bayer Oy"
"115091";"E";"2022-08-26";"2022-10-31";"2022-06-16";"2022-10-18";"Teva Finland Oy"
"110732";"E";"2022-10-24";"2022-11-15";"2022-10-18";"2022-10-18";"MSD Animal Health Oy"
"196352";"E";"2022-10-21";"2022-11-14";"2022-10-04";"2022-10-18";"Teva Finland Oy"
"136607";"E";"2022-10-17";"2022-10-26";"2022-09-15";"2022-10-17";"Bayer Oy"
"034367";"K";"2022-10-17";"2022-12-31";"2022-10-17";"2022-10-17";"Stada Nordic ApS, Suomen sivuliike"
"000599";"K";"2022-08-01";"2022-12-19";"2022-06-10";"2022-10-17";"Sandoz A/S"
"418866";"E";"2022-10-16";"2022-10-17";"2022-10-10";"2022-10-17";"Sandoz A/S"
"080652";"K";"2022-10-18";"2023-03-22";"2022-06-29";"2022-10-17";"Sandoz A/S"
"080640";"K";"2022-10-18";"2023-03-22";"2022-03-29";"2022-10-17";"Sandoz A/S"
"389203";"E";"0202-10-16";"2022-10-17";"2022-06-04";"2022-10-17";"Sandoz A/S"
"000616";"K";"2022-12-13";"2022-12-19";"2022-10-10";"2022-10-17";"Sandoz A/S"
"016162";"E";"2022-10-14";"2022-10-17";"2022-10-14";"2022-10-17";"Orion Oyj"
"026359";"E";"2022-10-16";"2022-10-17";"2022-10-10";"2022-10-17";"Sandoz A/S"
"112976";"K";"2022-10-17";"2022-12-31";"2022-10-17";"2022-10-17";"Stada Nordic ApS, Suomen sivuliike"
"460502";"E";"2022-10-11";"2022-10-31";"2022-08-05";"2022-10-14";"Orion Oyj"
"153385";"K";"2022-11-06";"2022-11-21";"2022-10-14";"2022-10-14";"Servier Finland Oy"
"508939";"K";"2022-12-19";"2023-02-27";"2022-10-14";"2022-10-14";"Orion Oyj"
"047556";"K";"2022-06-23";"2022-12-05";"2022-04-29";"2022-10-14";"Orion Oyj"
"183574";"E";"2022-10-24";"2022-11-14";"2022-10-14";"2022-10-14";"Orion Oyj"
"373077";"K";"2022-11-08";"2022-11-28";"2022-10-14";"2022-10-14";"Orion Oyj"
"182865";"K";"2022-11-23";"2022-12-19";"2022-10-14";"2022-10-14";"Orion Oyj"
"577396";"E";"2022-03-28";"2022-10-18";"2022-01-31";"2022-10-14";"Fresenius Kabi AB, sivuliike Suomessa"
"047545";"K";"2021-08-05";"2022-12-05";"2021-06-18";"2022-10-14";"Orion Oyj"
"499175";"K";"2022-09-19";"2022-11-24";"2022-09-16";"2022-10-14";"Teva Finland Oy"
"486559";"K";"2022-08-13";"2022-12-31";"2022-08-12";"2022-10-13";"Accord Healthcare Oy"
"544932";"E";"2022-08-10";"2022-10-19";"2022-08-10";"2022-10-13";"Orifarm Healthcare Oy"
"055722";"E";"2022-08-18";"2022-10-25";"2022-08-15";"2022-10-13";"Novartis Finland Oy"
"590060";"K";"2022-10-19";"2022-12-23";"2022-09-29";"2022-10-13";"Orifarm Healthcare Oy"
"058354";"K";"2022-03-21";"2022-11-30";"2022-03-04";"2022-10-13";"Vetcare oy"
"576536";"E";"2022-10-14";"2022-10-26";"2022-10-13";"2022-10-13";"Abacus Medicine A/S"
"044006";"K";"2022-10-17";"2022-11-30";"2022-10-13";"2022-10-13";"Abacus Medicine A/S"
"396250";"E";"2022-10-13";"2022-10-31";"2022-10-13";"2022-10-13";"Baxter Oy"
"519520";"E";"2022-08-10";"2022-10-19";"2022-08-10";"2022-10-13";"Orifarm Healthcare Oy"
"571329";"K";"2022-10-13";"2022-12-16";"2022-10-11";"2022-10-12";"POA Pharma Scandinavia AB"
"099111";"K";"2022-08-29";"2022-12-31";"2022-08-29";"2022-10-12";"Orifarm Oy"
"152593";"K";"2022-04-30";"2022-12-12";"2022-01-18";"2022-10-11";"GlaxoSmithKline Oy"
"125804";"E";"2022-09-26";"2022-10-26";"2022-09-22";"2022-10-11";"Biocodex Oy"
"454853";"E";"2022-10-11";"2022-10-28";"2022-10-11";"2022-10-11";"Viatris Oy"
"070042";"E";"2022-10-17";"2022-10-24";"2022-10-11";"2022-10-11";"Janssen-Cilag Oy"
"128750";"E";"2022-10-17";"2022-10-25";"2022-10-11";"2022-10-11";"Pfizer Oy"
"153407";"E";"2022-10-26";"2022-11-07";"2022-10-11";"2022-10-11";"Servier Finland Oy"
"168120";"K";"2022-07-01";"2023-01-17";"2022-05-17";"2022-10-11";"Perrigo Suomi Oy"
"000552";"K";"2022-12-12";"2022-12-30";"2022-09-29";"2022-10-11";"Pfizer"
"387208";"K";"2022-12-03";"2023-06-01";"2022-09-06";"2022-10-11";"GlaxoSmithKline Oy"
"583401";"K";"2022-05-24";"2022-12-30";"2022-05-17";"2022-10-10";"OY GE HEALTHCARE BIO-SCIENCES AB"
"562545";"K";"2022-10-14";"2023-02-06";"2022-10-10";"2022-10-10";"Teva Finland Oy"
"475076";"K";"2022-10-15";"2022-12-31";"2022-08-31";"2022-10-10";"Accord Healthcare Oy"
"137537";"K";"2022-09-07";"2022-12-31";"2022-07-04";"2022-10-10";"Accord Healthcare Oy"
"491503";"K";"2022-06-01";"2022-12-31";"2022-05-03";"2022-10-10";"Abacus Medicine A/S"
"136154";"E";"2022-10-10";"2022-10-26";"2022-10-10";"2022-10-10";"Bracco Imaging Scandinavia AB"
"154894";"K";"2022-10-19";"2022-12-12";"2022-10-10";"2022-10-10";"Teva Finland Oy"
"582627";"K";"2022-08-12";"2022-12-30";"2022-08-05";"2022-10-10";"OY GE HEALTHCARE BIO-SCIENCES AB"
"083017";"E";"2022-09-27";"2022-10-19";"2022-09-15";"2022-10-10";"Abacus Medicine A/S"
"466897";"E";"2022-09-05";"2022-10-19";"2022-09-02";"2022-10-10";"Abacus Medicine A/S"
"582692";"K";"2022-08-26";"2022-12-23";"2022-07-19";"2022-10-10";"OY GE HEALTHCARE BIO-SCIENCES AB"
"061920";"K";"2022-10-04";"2023-02-14";"2022-03-29";"2022-10-07";"Sandoz A/S"
"069678";"K";"2022-10-07";"2023-01-31";"2022-10-07";"2022-10-07";"McNeil a division of Janssen-Cilag Oy"
"385528";"E";"2022-09-28";"2022-10-17";"2022-09-30";"2022-10-07";"Orion Oyj"
"446297";"K";"2022-10-19";"2023-02-03";"2022-10-07";"2022-10-07";"Orion Oyj"
"031742";"K";"2022-10-19";"2022-11-21";"2022-10-07";"2022-10-07";"Orion Oyj"
"464244";"K";"2022-11-30";"2023-02-10";"2022-10-07";"2022-10-07";"Orion Oyj"
"481705";"E";"2022-10-28";"2022-11-04";"2022-10-07";"2022-10-07";"Orion Oyj"
"435206";"K";"2022-11-01";"2022-11-21";"2022-10-07";"2022-10-07";"Orion Oyj"
"106290";"K";"2022-11-02";"2023-02-10";"2022-10-07";"2022-10-07";"Orion Oyj"
"513595";"K";"2022-11-05";"2022-11-23";"2022-08-05";"2022-10-07";"Sandoz A/S"
"148299";"K";"2022-11-10";"2022-12-19";"2022-10-07";"2022-10-07";"Orion Oyj"
"554955";"K";"2022-11-20";"2022-12-17";"2022-09-12";"2022-10-07";"Sandoz A/S"
"152938";"K";"2022-09-23";"2023-01-20";"2022-07-13";"2022-10-06";"Santen Oy"
"471490";"K";"2022-08-29";"2023-01-27";"2022-10-05";"2022-10-06";"CHEPLAPHARM Arzneimittel GmbH"
"381005";"E";"2022-09-13";"2022-10-21";"2022-09-13";"2022-10-06";"Glaxosmithkline Consumer Healthcare Finland Oy"
"580944";"K";"2022-09-15";"2023-01-27";"2022-10-05";"2022-10-06";"CHEPLAPHARM Arzneimittel GmbH"
"392390";"K";"2022-09-23";"2022-11-18";"2022-09-16";"2022-10-06";"Santen Oy"
"554071";"K";"2022-10-10";"2022-11-25";"2022-07-07";"2022-10-06";"Santen Oy"
"548563";"E";"2022-07-06";"2022-11-15";"2022-07-11";"2022-10-06";"Alcon Nordic A/S"
"199670";"K";"2022-10-17";"2023-01-20";"2022-09-16";"2022-10-06";"Santen Oy"
"457473";"K";"2022-11-01";"2022-12-05";"2022-10-05";"2022-10-05";"GlaxoSmithKline Oy"
"189199";"K";"2022-10-05";"2023-04-10";"2022-10-05";"2022-10-05";"Avansor Pharma Oy"
"081635";"E";"2022-09-29";"2022-10-21";"2022-10-05";"2022-10-05";"Glaxosmithkline Consumer Healthcare Finland Oy"
"134078";"K";"2022-09-07";"2022-12-07";"2022-07-12";"2022-10-04";"Krka Finland Oy"
"477005";"E";"2022-10-10";"2022-10-17";"2022-08-23";"2022-10-04";"MSD Animal Health Oy"
"473135";"K";"2022-10-10";"2022-12-05";"2022-09-06";"2022-10-04";"Teva Finland Oy"
"371284";"K";"2022-12-10";"2023-01-13";"2022-10-04";"2022-10-04";"Viatris Oy"
"048600";"E";"2022-08-30";"2022-10-31";"2022-07-12";"2022-10-04";"Teva Finland Oy"
