SUBSTITUUTIORYHMA;VNRNRO;PAKKAUSKOKO;RESEPTISTATUS;LAAKENIMI;VAHVUUS;LAAKEMUOTONIMI;HALTIJA;ATCKOODI;SELITES;KAUPAN;DOKUMENTAATIO;RINNAKKAISTUONTI;MYYNTILUPANRO;EUMYYNTILUPANRO
0709;006815;100 g;K;Hydrocortison-ratiopharm;1 %;emulsiovoide;ratiopharm GmbH;D07AA02;hydrokortisoni;1;G;0;11449;
0709;007025;20 g;K;Hydrocortison-ratiopharm;1 %;emulsiovoide;ratiopharm GmbH;D07AA02;hydrokortisoni;1;G;0;11449;
0709;007036;50 g;K;Hydrocortison-ratiopharm;1 %;emulsiovoide;ratiopharm GmbH;D07AA02;hydrokortisoni;1;G;0;11449;
0709;048769;20 g;K;Hydrocortison;1 %;emulsiovoide;Orion Corporation;D07AA02;hydrokortisoni;1;A;0;2072;
0709;195347;50 g;K;Hydrocortison;1 %;emulsiovoide;Orion Corporation;D07AA02;hydrokortisoni;1;A;0;2072;
0709;478818;100 g;K;Hydrocortison;1 %;emulsiovoide;Orion Corporation;D07AA02;hydrokortisoni;1;A;0;2072;
0710;180950;50 g;R;Bucort;0.1 %;emulsiovoide;Orion Corporation;D07AB02;hydrokortisonibutyraatti;1;G;0;10260;
0710;180968;100 g;R;Bucort;0.1 %;emulsiovoide;Orion Corporation;D07AB02;hydrokortisonibutyraatti;1;G;0;10260;
0710;438591;100 g;R;Locoid;0.1 %;emulsiovoide;Cheplapharm Arzneimittel GmbH;D07AB02;hydrokortisonibutyraatti;1;A;0;6770;
0710;443227;50 g;R;Locoid;0.1 %;emulsiovoide;Cheplapharm Arzneimittel GmbH;D07AB02;hydrokortisonibutyraatti;1;A;0;6770;
0714;457473;100 ml;R;Betnovat Scalp;1 mg/ml;liuos iholle;GlaxoSmithKline Oy;D07AC01;beetametasoni;1;A;0;5451;
0714;482026;100 ml;R;Bemetson;1 mg/ml;liuos p‰‰nahkaan;Orion Corporation;D07AC01;beetametasoni;1;A;0;7210;
0719;089058;10 g;R;Tacrolimus Accord;0.1 %;voide;Accord Healthcare B.V.;D11AH01;takrolimuusi;1;G;0;32746;
0719;125688;10 g;R;Protopic;0.1 %;voide;Leo Pharma A/S;D11AH01;takrolimuusi;0;A;0;16113;EU/1/02/201/006
0719;180419;60 g;R;Protopic;0.1 %;voide;Leo Pharma A/S;D11AH01;takrolimuusi;1;A;0;16113;EU/1/02/201/004
0719;400733;60 g;R;Tacrolimus Accord;0.1 %;voide;Accord Healthcare B.V.;D11AH01;takrolimuusi;1;G;0;32746;
0719;456179;30 g;R;Tacrolimus Accord;0.1 %;voide;Accord Healthcare B.V.;D11AH01;takrolimuusi;1;G;0;32746;
0719;473968;30 g;R;Protopic;0.1 %;voide;Leo Pharma A/S;D11AH01;takrolimuusi;0;A;0;16113;EU/1/02/201/003
0728;011107;28 x 1;R;Abilify;10 mg;tabletti;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;aripipratsoli;1;A;0;18162;EU/1/04/276/007
0728;011175;56;R;Abilify;10 mg;tabletti;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;aripipratsoli;1;A;0;18162;EU/1/04/276/009
0728;028132;28 x 1;R;Abilify;10 mg;tabletti, suussa hajoava;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;aripipratsoli;1;A;0;20911;EU/1/04/276/025
0728;040013;98;R;Aripiprazole Ratiopharm;10 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32323;
0728;061293;28;R;Aripiprazole Ratiopharm;10 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32323;
0728;075848;28;R;Aripiprazole Orion;10 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32337;
0728;088812;100;R;Aripiprazole Accord;10 mg;tabletti;Accord Healthcare S.L.U.;N05AX12;aripipratsoli;1;G;0;32623;EU/1/15/1045/012
0728;089398;56;R;Aripiprazole Orion;10 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32337;
0728;096777;28 x 1;R;Aripiprazol Stada;10 mg;tabletti, suussa hajoava;STADA Arzneimittel AG;N05AX12;aripipratsoli;1;G;0;32384;
0728;105699;28 x 1;R;Abilify;10 mg;tabletti, suussa hajoava;Orifarm Oy;N05AX12;aripipratsoli;0;;1;37421;EU/1/04/276/025
0728;107657;56;R;Aripiprazol Krka;10 mg;tabletti;KRKA Sverige AB;N05AX12;aripipratsoli;1;G;0;32341;
0728;115831;30 x 1;R;Aripiprazol Stada;10 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;1;G;0;32379;
0728;145209;98;R;Aripiprazole Orion;10 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32337;
0728;373252;28;R;Aripiprazol Krka;10 mg;tabletti;KRKA Sverige AB;N05AX12;aripipratsoli;1;G;0;32341;
0728;396362;56 x 1;R;Aripiprazol Stada;10 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;1;G;0;32379;
0728;403524;56;R;Aripiprazole Ratiopharm;10 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32323;
0728;515827;28 x 1;R;Aripiprazole Accord;10 mg;tabletti;Accord Healthcare S.L.U.;N05AX12;aripipratsoli;0;G;0;32623;EU/1/15/1045/008
0728;523039;28 x 1;R;Aripiprazol Stada;10 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;0;G;0;32379;
0728;587065;56 x 1;R;Aripiprazole Accord;10 mg;tabletti;Accord Healthcare S.L.U.;N05AX12;aripipratsoli;1;G;0;32623;EU/1/15/1045/009
0728;596045;28 x 1;R;Abilify;10 mg;tabletti, suussa hajoava;Paranova Oy;N05AX12;aripipratsoli;1;;1;35097;EU/1/04/276/025
0729;011118;28 x 1;R;Abilify;15 mg;tabletti;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;aripipratsoli;1;A;0;18163;EU/1/04/276/012
0729;011186;56 x 1;R;Abilify;15 mg;tabletti;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;aripipratsoli;1;A;0;18163;EU/1/04/276/014
0729;028141;28 x 1;R;Abilify;15 mg;tabletti, suussa hajoava;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;aripipratsoli;1;A;0;20913;EU/1/04/276/028
0729;068035;28 x 1;R;Aripiprazole Accord;15 mg;tabletti;Accord Healthcare S.L.U.;N05AX12;aripipratsoli;0;G;0;32624;EU/1/15/1045/014
0729;072209;28 x 1;R;Aripiprazol Stada;15 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;0;G;0;32380;
0729;072328;98;R;Aripiprazole Ratiopharm;15 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32324;
0729;088445;56;R;Aripiprazol Krka;15 mg;tabletti;KRKA Sverige AB;N05AX12;aripipratsoli;1;G;0;32342;
0729;105533;56 x 1;R;Aripiprazol Stada;15 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;1;G;0;32380;
0729;123435;28;R;Aripiprazol Krka;15 mg;tabletti;KRKA Sverige AB;N05AX12;aripipratsoli;1;G;0;32342;
0729;155245;28;R;Aripiprazole Orion;15 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32338;
0729;172225;56;R;Aripiprazole Avansor;15 mg;tabletti;Avansor Pharma Oy;N05AX12;aripipratsoli;0;G;0;32411;
0729;183059;56 x 1;R;Aripiprazole Accord;15 mg;tabletti;Accord Healthcare S.L.U.;N05AX12;aripipratsoli;1;G;0;32624;EU/1/15/1045/015
0729;186354;28 x 1;R;Abilify;15 mg;tabletti, suussa hajoava;Orifarm Oy;N05AX12;aripipratsoli;0;;1;37381;EU/1/04/276/028
0729;190848;100;R;Aripiprazole Accord;15 mg;tabletti;Accord Healthcare S.L.U.;N05AX12;aripipratsoli;1;G;0;32624;EU/1/15/1045/018
0729;391092;28;R;Abilify;15 mg;tabletti, suussa hajoava;Paranova Oy;N05AX12;aripipratsoli;1;;1;35098;EU/1/04/276/028
0729;403579;28 x 1;R;Aripiprazol Stada;15 mg;tabletti, suussa hajoava;STADA Arzneimittel AG;N05AX12;aripipratsoli;1;G;0;32385;
0729;420816;28;R;Aripiprazole Ratiopharm;15 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32324;
0729;427375;30 x 1;R;Aripiprazol Stada;15 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;1;G;0;32380;
0729;442121;98;R;Aripiprazole Orion;15 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32338;
0729;568945;56;R;Aripiprazole Ratiopharm;15 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32324;
0729;575296;56;R;Aripiprazole Orion;15 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32338;
0730;011195;56 x 1;R;Abilify;30 mg;tabletti;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;aripipratsoli;1;A;0;18164;EU/1/04/276/019
0730;113143;56;R;Aripiprazol Krka;30 mg;tabletti;KRKA Sverige AB;N05AX12;aripipratsoli;1;G;0;32343;
0730;145932;28 x 1;R;Aripiprazol Stada;30 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;0;G;0;32381;
0730;153560;56;R;Aripiprazole Ratiopharm;30 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32326;
0730;197123;56 x 1;R;Aripiprazol Stada;30 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;1;G;0;32381;
0730;372451;98;R;Aripiprazole Orion;30 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32339;
0730;397508;56 x 1;R;Aripiprazole Accord;30 mg;tabletti;Accord Healthcare S.L.U.;N05AX12;aripipratsoli;1;G;0;32625;EU/1/15/1045/021
0730;403629;56;R;Aripiprazole Orion;30 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32339;
0730;499315;98;R;Aripiprazole Ratiopharm;30 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32326;
0730;569205;56;R;Aripiprazole Avansor;30 mg;tabletti;Avansor Pharma Oy;N05AX12;aripipratsoli;0;G;0;32413;
0731;016606;28 x 1;R;Abilify;5 mg;tabletti;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;aripipratsoli;1;A;0;19583;EU/1/04/276/002
0731;037768;28 x 1;R;Aripiprazol Stada;5 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;1;G;0;32378;
0731;052737;56;R;Aripiprazol Krka;5 mg;tabletti;KRKA Sverige AB;N05AX12;aripipratsoli;1;G;0;32340;
0731;105522;28;R;Aripiprazole Ratiopharm;5 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32322;
0731;114391;98;R;Aripiprazole Ratiopharm;5 mg;tabletti;ratiopharm GmbH;N05AX12;aripipratsoli;1;G;0;32322;
0731;184731;28;R;Aripiprazol Krka;5 mg;tabletti;KRKA Sverige AB;N05AX12;aripipratsoli;1;G;0;32340;
0731;185446;98;R;Aripiprazole Orion;5 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32336;
0731;407032;56;R;Aripiprazole Orion;5 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32336;
0731;440405;56 x 1;R;Aripiprazol Stada;5 mg;tabletti;STADA Arzneimittel AG;N05AX12;aripipratsoli;1;G;0;32378;
0731;524578;100;R;Aripiprazole Accord;5 mg;tabletti;Accord Healthcare S.L.U.;N05AX12;aripipratsoli;1;G;0;32622;EU/1/15/1045/006
0731;532276;28;R;Aripiprazole Orion;5 mg;tabletti;Orion Corporation;N05AX12;aripipratsoli;1;G;0;32336;
0731;555881;28 x 1;R;Aripiprazole Accord;5 mg;tabletti;Accord Healthcare S.L.U.;N05AX12;aripipratsoli;1;G;0;32622;EU/1/15/1045/002
0733;013258;100;R;Isotretinoin Actavis;20 mg;kapseli, pehme‰;Actavis Group PTC ehf;D10BA01;isotretinoiini;1;G;0;17180;
0733;018963;30;R;Isotretinoin Actavis;20 mg;kapseli, pehme‰;Actavis Group PTC ehf;D10BA01;isotretinoiini;1;G;0;17180;
0733;025810;100;R;Isotretinoin Orion;20 mg;kapseli, pehme‰;Pharmathen S.A.;D10BA01;isotretinoiini;1;G;0;21907;
0733;034352;60;R;Isotretinoin Orifarm;20 mg;kapseli, pehme‰;Orifarm Generics A/S;D10BA01;isotretinoiini;1;G;0;24197;
0733;034361;100;R;Isotretinoin Orifarm;20 mg;kapseli, pehme‰;Orifarm Generics A/S;D10BA01;isotretinoiini;1;G;0;24197;
0733;034370;30;R;Isotretinoin Orifarm;20 mg;kapseli, pehme‰;Orifarm Generics A/S;D10BA01;isotretinoiini;1;G;0;24197;
0733;052745;30;R;Isotretinoin Orion;20 mg;kapseli, pehme‰;Pharmathen S.A.;D10BA01;isotretinoiini;1;G;0;21907;
0736;041086;56;R;Procoralan;5 mg;tabletti, kalvop‰‰llysteinen;Les Laboratoires Servier;C01EB17;ivabradiini;0;A;0;19455;EU/1/05/316/003
0736;041096;112;R;Procoralan;5 mg;tabletti, kalvop‰‰llysteinen;Les Laboratoires Servier;C01EB17;ivabradiini;0;A;0;19455;EU/1/05/316/007
0736;064910;112 x 1;R;Ivabradine Accord;5 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare S.L.U.;C01EB17;ivabradiini;1;G;0;33824;EU/1/17/1190/007
0736;536366;56 x 1;R;Ivabradine Accord;5 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare S.L.U.;C01EB17;ivabradiini;1;G;0;33824;EU/1/17/1190/003
0737;122827;112 x 1;R;Ivabradine Accord;7.5 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare S.L.U.;C01EB17;ivabradiini;1;G;0;33825;EU/1/17/1190/014
0737;473746;56 x 1;R;Ivabradine Accord;7.5 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare S.L.U.;C01EB17;ivabradiini;0;G;0;33825;EU/1/17/1190/010
0738;006068;90;R;Natrilix Retard;1.5 mg;depottabletti;Les Laboratoires Servier;C03BA11;indapamidi;1;G;0;12124;
0738;096685;30;R;Natrilix Retard;1.5 mg;depottabletti;Les Laboratoires Servier;C03BA11;indapamidi;1;G;0;12124;
0738;154353;30;R;Indapamide Orion;1.5 mg;depottabletti;Orion Corporation;C03BA11;indapamidi;1;G;0;23530;
0738;154375;90;R;Indapamide Orion;1.5 mg;depottabletti;Orion Corporation;C03BA11;indapamidi;1;G;0;23530;
0739;009049;60;R;Spasmo-Lyt Plus;20 mg;tabletti, p‰‰llystetty;Viatris Oy;G04BD09;trospium;1;A;0;15411;
0739;044976;60;R;Trospium Verman;20 mg;tabletti, kalvop‰‰llysteinen;Oy Verman Ab;G04BD09;trospium;1;G;0;23245;
0744;021855;100;R;Metohexal;23.75 mg;depottabletti;Hexal A/S;C07AB02;metoprololi;1;G;0;18778;
0744;035494;100;R;Metoprolol ratiopharm;23.75 mg;depottabletti;ratiopharm GmbH;C07AB02;metoprololi;0;G;0;24706;
0744;057751;250;R;Metohexal;23.75 mg;depottabletti;Hexal A/S;C07AB02;metoprololi;1;G;0;18778;
0744;070361;100;R;Metoprolol Orion;23.75 mg;depottabletti;Orion Corporation;C07AB02;metoprololi;1;G;0;25031;
0744;137437;100;R;Metoprolol Krka;23.75 mg;depottabletti;KRKA d.d. Novo mesto;C07AB02;metoprololi;1;G;0;32986;
0744;487713;30;R;Metoprolol Krka;23.75 mg;depottabletti;KRKA d.d. Novo mesto;C07AB02;metoprololi;1;G;0;32986;
0744;523105;250;R;Metoprolol ratiopharm;23.75 mg;depottabletti;ratiopharm GmbH;C07AB02;metoprololi;0;G;0;24706;
0745;021877;100;R;Metohexal;47.5 mg;depottabletti;Hexal A/S;C07AB02;metoprololi;1;G;0;18779;
0745;021888;30;R;Metohexal;47.5 mg;depottabletti;Hexal A/S;C07AB02;metoprololi;1;G;0;18779;
0745;035516;30;R;Metoprolol ratiopharm;47.5 mg;depottabletti;ratiopharm GmbH;C07AB02;metoprololi;0;G;0;24707;
0745;035528;100;R;Metoprolol ratiopharm;47.5 mg;depottabletti;ratiopharm GmbH;C07AB02;metoprololi;0;G;0;24707;
0745;063302;30;R;Metoprolol Krka;47.5 mg;depottabletti;KRKA d.d. Novo mesto;C07AB02;metoprololi;0;G;0;32987;
0745;070372;30;R;Metoprolol Orion;47.5 mg;depottabletti;Orion Corporation;C07AB02;metoprololi;1;G;0;25032;
0745;070384;100;R;Metoprolol Orion;47.5 mg;depottabletti;Orion Corporation;C07AB02;metoprololi;1;G;0;25032;
0745;087127;100;R;Metomylan;47.5 mg;depottabletti;Viatris Limited;C07AB02;metoprololi;1;G;0;25028;
0745;127623;100;R;Metoprolol Krka;47.5 mg;depottabletti;KRKA d.d. Novo mesto;C07AB02;metoprololi;1;G;0;32987;
0745;383496;250;R;Metoprolol ratiopharm;47.5 mg;depottabletti;ratiopharm GmbH;C07AB02;metoprololi;0;G;0;24707;
0745;472084;28;R;Seloken Zoc;47.5 mg;depottabletti;Recordati Ireland Ltd.;C07AB02;metoprololi;1;A;0;10439;
0745;472092;98;R;Seloken Zoc;47.5 mg;depottabletti;Recordati Ireland Ltd.;C07AB02;metoprololi;1;A;0;10439;
0745;543469;250;R;Metohexal;47.5 mg;depottabletti;Hexal A/S;C07AB02;metoprololi;1;G;0;18779;
0747;010969;30;R;Felodipin Ratiopharm;10 mg;depottabletti;ratiopharm GmbH;C08CA02;felodipiini;1;G;0;17102;
0747;010980;100;R;Felodipin Ratiopharm;10 mg;depottabletti;ratiopharm GmbH;C08CA02;felodipiini;1;G;0;17102;
0747;011960;98;R;Felodipin Holsten;10 mg;depottabletti;Holsten Pharma GmbH;C08CA02;felodipiini;1;G;0;17197;
0747;012131;100;R;Felodipin Hexal;10 mg;depottabletti;Hexal A/S;C08CA02;felodipiini;1;G;0;16250;
0747;044573;100;R;Felodipin Ratiopharm;10 mg;depottabletti;ratiopharm GmbH;C08CA02;felodipiini;1;G;0;17102;
0747;471466;98;R;Plendil;10 mg;depottabletti;Glenwood GmbH Pharmazeutische Erzeugnisse;C08CA02;felodipiini;1;A;0;10338;
0754;152652;7;R;Zeclar OD;500 mg;s‰‰dellysti vapauttava tabletti;Orion Corporation;J01FA09;klaritromysiini;1;G;0;12844;
0754;152728;10;R;Zeclar OD;500 mg;s‰‰dellysti vapauttava tabletti;Orion Corporation;J01FA09;klaritromysiini;1;G;0;12844;
0754;494146;7;R;Klacid OD;500 mg;s‰‰dellysti vapauttava tabletti;Viatris Oy;J01FA09;klaritromysiini;1;A;0;12843;
0756;030635;100;R;Leponex;25 mg;tabletti;Viatris Oy;N05AH02;klotsapiini;1;A;0;10350;
0756;168947;250;R;Froidir;25 mg;tabletti;Orion Corporation;N05AH02;klotsapiini;1;G;0;35640;
0756;186182;100;R;Clozapine Accord;25 mg;tabletti;Accord Healthcare B.V.;N05AH02;klotsapiini;0;G;0;32626;
0756;374918;30;R;Leponex;25 mg;tabletti;Viatris Oy;N05AH02;klotsapiini;1;A;0;10350;
0756;441542;100;R;Froidir;25 mg;tabletti;Orion Corporation;N05AH02;klotsapiini;1;G;0;35640;
0758;114901;100;R;Metformin Medical Valley;500 mg;depottabletti;Medical Valley Invest AB;A10BA02;metformiini;1;G;0;41864;
0758;198037;100;R;Metformin Accord;500 mg;depottabletti;Accord Healthcare B.V.;A10BA02;metformiini;0;G;0;34175;
0758;372679;100;R;Metformin Sandoz;500 mg;depottabletti;Sandoz A/S;A10BA02;metformiini;0;G;0;38876;
0758;564119;100;R;Metformin STADA;500 mg;depottabletti;STADA Arzneimittel AG;A10BA02;metformiini;0;G;0;38735;
0761;040092;100;R;Tramadol Krka;100 mg;depottabletti;KRKA d.d. Novo mesto;N02AX02;tramadoli;1;G;0;35806;
0761;082117;20;R;Tradolan Retard;100 mg;depottabletti;G.L. Pharma GmbH;N02AX02;tramadoli;1;G;0;16503;
0761;170335;20;R;Tramadol Krka;100 mg;depottabletti;KRKA d.d. Novo mesto;N02AX02;tramadoli;1;G;0;35806;
0761;403996;100;R;Tramadol Retard Hexal;100 mg;depottabletti;Hexal A/S;N02AX02;tramadoli;1;G;0;19650;
0761;426326;100;R;Tradolan Retard;100 mg;depottabletti;G.L. Pharma GmbH;N02AX02;tramadoli;1;G;0;16503;
0761;435115;20;R;Tramal Retard;100 mg;depottabletti;Gr¸nenthal GmbH;N02AX02;tramadoli;1;A;0;12497;
0761;435156;100;R;Tramal Retard;100 mg;depottabletti;Gr¸nenthal GmbH;N02AX02;tramadoli;1;A;0;12497;
0761;486138;20;R;Tramadol Retard Hexal;100 mg;depottabletti;Hexal A/S;N02AX02;tramadoli;0;G;0;19650;
0762;370655;20;R;Tramadol Retard Sandoz;150 mg;depottabletti;Sandoz A/S;N02AX02;tramadoli;1;G;0;19304;
0762;415887;100;R;Tradolan Retard;150 mg;depottabletti;G.L. Pharma GmbH;N02AX02;tramadoli;1;G;0;16504;
0762;435172;20;R;Tramal Retard;150 mg;depottabletti;Gr¸nenthal GmbH;N02AX02;tramadoli;1;A;0;12498;
0762;435206;100;R;Tramal Retard;150 mg;depottabletti;Gr¸nenthal GmbH;N02AX02;tramadoli;1;A;0;12498;
0762;448432;100;R;Tramadol Retard Sandoz;150 mg;depottabletti;Sandoz A/S;N02AX02;tramadoli;1;G;0;19304;
0762;501068;20;R;Tradolan Retard;150 mg;depottabletti;G.L. Pharma GmbH;N02AX02;tramadoli;1;G;0;16504;
0762;545394;20;R;Tramadol Krka;150 mg;depottabletti;KRKA d.d. Novo mesto;N02AX02;tramadoli;1;G;0;35807;
0762;589302;100;R;Tramadol Krka;150 mg;depottabletti;KRKA d.d. Novo mesto;N02AX02;tramadoli;1;G;0;35807;
0763;084445;20;R;Tradolan Retard;200 mg;depottabletti;G.L. Pharma GmbH;N02AX02;tramadoli;1;G;0;16505;
0763;128828;100;R;Tradolan Retard;200 mg;depottabletti;G.L. Pharma GmbH;N02AX02;tramadoli;1;G;0;16505;
0763;376663;20;R;Tramadol Krka;200 mg;depottabletti;KRKA d.d. Novo mesto;N02AX02;tramadoli;1;G;0;35808;
0763;435214;20;R;Tramal Retard;200 mg;depottabletti;Gr¸nenthal GmbH;N02AX02;tramadoli;1;A;0;12499;
0763;435222;100;R;Tramal Retard;200 mg;depottabletti;Gr¸nenthal GmbH;N02AX02;tramadoli;1;A;0;12499;
0763;440431;100;R;Tramadol Krka;200 mg;depottabletti;KRKA d.d. Novo mesto;N02AX02;tramadoli;1;G;0;35808;
0768;034234;30;K;Ovestin;0.5 mg;em‰tinpuikko;Paranova Oy;G03CA04;estrioli;1;;1;21637;
0768;040558;15;K;Ovestin;0.5 mg;em‰tinpuikko;Paranova Oy;G03CA04;estrioli;1;;1;21637;
0768;179432;30;K;Ovestin;0.5 mg;em‰tinpuikko;Aspen Pharma Trading Limited;G03CA04;estrioli;1;A;0;8836;
0768;484295;20;K;Pausanol;0.5 mg;em‰tinpuikko;Orifarm Healthcare A/S;G03CA04;estrioli;1;G;0;14498;
0768;537811;15;K;Ovestin;0.5 mg;em‰tinpuikko;Aspen Pharma Trading Limited;G03CA04;estrioli;1;A;0;8836;
0771;050297;30;R;Alfuzosin Hydrochlorid Ratiopharm;10 mg;depottabletti;ratiopharm GmbH;G04CA01;alfutsosiini;1;G;0;21791;
0771;050306;90;R;Alfuzosin Hydrochlorid Ratiopharm;10 mg;depottabletti;ratiopharm GmbH;G04CA01;alfutsosiini;1;G;0;21791;
0771;140841;100;R;Alfuzosin Hydrochlorid Ratiopharm;10 mg;depottabletti;ratiopharm GmbH;G04CA01;alfutsosiini;1;G;0;21791;
0771;371803;90;R;Alfuzosin Hydrochloride Orion;10 mg;depottabletti;Orion Corporation;G04CA01;alfutsosiini;1;G;0;33716;
0771;517356;30;R;Alfuzosin Hydrochloride Orion;10 mg;depottabletti;Orion Corporation;G04CA01;alfutsosiini;1;G;0;33716;
0771;566042;30;R;Xatral Cr;10 mg;depottabletti;Sanofi Oy;G04CA01;alfutsosiini;1;A;0;13973;
0771;566075;90;R;Xatral Cr;10 mg;depottabletti;Sanofi Oy;G04CA01;alfutsosiini;1;A;0;13973;
0777;585380;30;R;Seronil;10 mg;tabletti, kalvop‰‰llysteinen;Orion Corporation;N06AB03;fluoksetiini;1;G;0;11421;
0777;585398;100;R;Seronil;10 mg;tabletti, kalvop‰‰llysteinen;Orion Corporation;N06AB03;fluoksetiini;1;G;0;11421;
0788;093948;5 x 3 ml;R;NovoRapid Penfill;100 U/ml;injektioneste, liuos, sylinteriampulli;Novo Nordisk A/S;A10AB05;aspartinsuliini;1;A;0;13830;EU/1/99/119/003
0791;057467;98;R;Lercanidipin Hydrochlorid Actavis;10 mg;tabletti, kalvop‰‰llysteinen;Actavis Group PTC ehf;C08CA13;lerkanidipiini;1;G;0;24715;
0791;075856;98;R;Oridip;10 mg;tabletti, kalvop‰‰llysteinen;Orion Corporation;C08CA13;lerkanidipiini;1;G;0;25353;
0791;119970;100;R;Lercanidipine Hydrochloride Accord;10 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare B.V.;C08CA13;lerkanidipiini;1;G;0;38327;
0791;446780;98;R;Zanidip;10 mg;tabletti, kalvop‰‰llysteinen;Recordati Ireland Ltd.;C08CA13;lerkanidipiini;1;A;0;12469;
0791;556770;28;R;Zanidip;10 mg;tabletti, kalvop‰‰llysteinen;Recordati Ireland Ltd.;C08CA13;lerkanidipiini;1;A;0;12469;
0792;153379;10 x 50 mg;R;AmBisome liposomal;50 mg;infuusiokuiva-aine, dispersiota varten;Gilead Sciences Ireland UC;J02AA01;amfoterisiini;1;A;0;11795;
0792;463148;10 x 50 mg;R;AmBisome liposomal;50 mg;infuusiokuiva-aine, dispersiota varten;Paranova Oy;J02AA01;amfoterisiini;1;;1;34074;
0792;542815;10 x 50 mg;R;AmBisome liposomal;50 mg;infuusiokuiva-aine, dispersiota varten;Abacus Medicine A/S;J02AA01;amfoterisiini;1;;1;39142;
0792;564325;10 x 50 mg;R;AmBisome liposomal;50 mg;infuusiokuiva-aine, dispersiota varten;Orifarm Oy;J02AA01;amfoterisiini;1;;1;20208;
0793;000451;30;K;Movicol Chocolate;;jauhe oraaliliuosta varten, annospussi;Norgine Healthcare B.V.;A06AD65;makrogoli, yhdistelm‰valmisteet;1;A;0;24014;
0793;014852;20;K;Movicol;;jauhe oraaliliuosta varten, annospussi;Norgine Healthcare B.V.;A06AD65;makrogoli, yhdistelm‰valmisteet;1;A;0;12348;
0793;015461;100;K;Movicol;;jauhe oraaliliuosta varten, annospussi;Norgine Healthcare B.V.;A06AD65;makrogoli, yhdistelm‰valmisteet;1;A;0;12348;
0793;035591;2 x 50;K;Moxalole;;jauhe oraaliliuosta varten;Viatris Oy;A06AD65;makrogoli, yhdistelm‰valmisteet;1;G;0;23434;
0793;049060;20;K;Movicol;;jauhe oraaliliuosta varten, annospussi;Paranova Oy;A06AD65;makrogoli, yhdistelm‰valmisteet;1;;1;22052;
0793;049069;50;K;Movicol;;jauhe oraaliliuosta varten, annospussi;Paranova Oy;A06AD65;makrogoli, yhdistelm‰valmisteet;1;;1;22052;
0793;049078;100;K;Movicol;;jauhe oraaliliuosta varten, annospussi;Paranova Oy;A06AD65;makrogoli, yhdistelm‰valmisteet;1;;1;22052;
0793;123013;100;K;Moxalole;;jauhe oraaliliuosta varten;Paranova Oy;A06AD65;makrogoli, yhdistelm‰valmisteet;1;;1;42209;
